State,Population
CALIFORNIA,39144818
TEXAS,27469114
FLORIDA,20271272
NEW YORK,19795791
ILLINOIS,12859995
PENNSYLVANIA,12802503
OHIO,11613423
GEORGIA,10214860
NORTH CAROLINA,10042802
MICHIGAN,9922576
NEW JERSEY,8958013
VIRGINIA,8382993
WASHINGTON,7170351
ARIZONA,6828065
MASSACHUSETTS,6794422
INDIANA,6619680
TENNESSEE,6600299
MISSOURI,6083672
MARYLAND,6006401
WISCONSIN,5771337
MINNESOTA,5489594
COLORADO,5456574
SOUTH CAROLINA,4896146
ALABAMA,4858979
LOUISIANA,4670724
KENTUCKY,4425092
OREGON,4028977
OKLAHOMA,3911338
CONNECTICUT,3590886
PUERTO RICO,3474182
IOWA,3123899
UTAH,2995919
MISSISSIPPI,2992333
ARKANSAS,2978204
KANSAS,2911641
NEVADA,2890845
NEW MEXICO,2085109
NEBRASKA,1896190
WEST VIRGINIA,1844128
IDAHO,1654930
HAWAII,1431603
NEW HAMPSHIRE,1330608
MAINE,1329328
RHODE ISLAND,1056298
MONTANA,1032949
DELAWARE,945934
SOUTH DAKOTA,858469
NORTH DAKOTA,756927
ALASKA,738432
DISTRICT OF COLUMBIA,672228
VERMONT,626042
WYOMING,586107
GUAM,161785
U.S. VIRGIN ISLANDS,103574
AMERICAN SAMOA,54343
NORTHERN MARIANA ISLANDS,52344
